                           x                ground state                 1st excited                 2nd excited
  -20.000000000000000        1.3700153193357009E-055   1.0010431880232336E-048   4.6523491626296552E-042
  -19.899749373433583        4.6544651006275613E-055   5.6089206589991904E-048   7.0996936897650070E-041
  -19.799498746867169        4.0813856432166662E-056   9.4644377474025892E-049   1.3700957947172796E-040
  -19.699248120300751        3.1166601880291840E-054   4.6238388443472494E-047   7.5957060775578017E-040
  -19.598997493734338        7.8222467399882147E-060   2.0675281587423969E-048   1.5017186615121004E-040
  -19.498746867167920        6.4937778506521709E-055   1.6109405317647532E-047   4.1254747382596950E-040
  -19.398496240601503        1.8158708935082805E-054   8.3396732319269345E-048   2.2485087741456816E-042
  -19.298245614035089        6.1069449076747651E-057   4.7931130222132908E-050   1.0130089542065309E-041
  -19.197994987468672        1.4283078414123073E-055   1.2917979248202791E-048   1.0175653185538829E-041
  -19.097744360902254        4.3475502472748570E-056   8.0875549577116194E-051   7.9168513632537138E-042
  -18.997493734335841        2.7156889123413722E-055   2.4033339881572358E-048   1.8095371258205680E-041
  -18.897243107769423        4.6876940722728692E-056   6.5785972725588871E-049   1.0168371934435858E-041
  -18.796992481203006        2.8840475685018721E-057   6.1830786499034774E-050   1.4448795864412439E-042
  -18.696741854636592        3.4926296872472296E-057   2.6568414692767636E-050   1.4145201531942543E-043
  -18.596491228070175        5.7166392327802355E-057   5.9186323299736041E-050   6.0185835781252898E-043
  -18.496240601503761        7.7886345350287341E-059   3.1107533097640381E-051   1.0427758236715256E-043
  -18.395989974937343        8.9049349877419185E-060   4.5814042309990499E-053   1.1803103587623120E-044
  -18.295739348370926        2.5801604605239972E-059   4.0736450938154716E-052   7.1710534555451653E-045
  -18.195488721804512        2.6087145093036458E-061   3.9153852051136245E-054   6.9625799080187277E-047
  -18.095238095238095        1.6557945151906355E-060   6.1163964488735498E-054   9.0182615828880047E-049
  -17.994987468671681        5.1124591300125240E-062   2.1080405614939439E-054   7.2003722952891562E-047
  -17.894736842105264        2.2670540541755971E-061   1.6261139942152483E-054   7.2867714830690724E-048
  -17.794486215538846        9.8309360731333654E-063   9.3016424173681713E-056   7.9647312759953543E-049
  -17.694235588972433        1.9325228903252780E-063   6.0150544185777598E-057   8.9407426323064265E-051
  -17.593984962406015        5.9142328327504973E-065   6.2669360250120693E-058   6.7953091253721657E-051
  -17.493734335839598        2.0534575845843475E-064   2.6146061013068959E-057   3.6178397325629650E-050
  -17.393483709273184        1.0069638626533660E-066   1.0770041229531742E-059   1.1150181538847059E-052
  -17.293233082706767        1.6727500726130887E-071   1.2986104351204593E-060   9.5024871711220009E-053
  -17.192982456140349        2.1588451072334641E-067   2.3533419127172047E-060   2.6757965659299775E-053
  -17.092731829573935        5.4241199877848759E-068   4.8193527512421131E-061   3.7081378450225108E-054
  -16.992481203007518        2.2769141880432725E-068   2.8946382554016199E-061   3.9749644680984086E-054
  -16.892230576441104        1.0817979900022319E-069   2.4483637582834901E-062   5.9007246500697985E-055
  -16.791979949874687        1.2221588919207300E-069   9.8903012404917713E-063   6.0946792183617552E-056
  -16.691729323308270        5.0891929018234304E-072   3.8985748894180436E-064   1.6752540678257620E-056
  -16.591478696741856        2.1169420683504312E-071   2.6938700345050791E-064   3.7000657361094338E-057
  -16.491228070175438        9.6922627290206212E-073   1.2988033896683914E-065   1.9205922945700907E-058
  -16.390977443609025        7.7936102939380759E-073   5.0087222942013053E-066   1.5573417722669635E-059
  -16.290726817042607        4.9279110401072186E-074   6.2281205232529410E-067   8.5165934648359133E-060
  -16.190476190476190        1.3058526365252691E-074   1.4957892153110106E-067   1.7679702324250927E-060
  -16.090225563909776        1.9389142299591064E-077   3.3151504897854137E-073   6.3742527757338961E-063
  -15.989974937343359        7.0382150095107043E-077   8.7295048819671245E-070   1.1586433711875117E-062
  -15.889724310776943        4.6620755114397825E-078   1.7194567018107379E-071   3.0936510552409096E-066
  -15.789473684210527        5.2857281379471676E-079   6.2639695111963097E-072   7.8184047490488308E-065
  -15.689223057644110        3.2386889488552027E-079   3.2596440028520961E-072   3.1389011958262870E-065
  -15.588972431077694        2.4262225063749236E-080   2.3013961278566145E-073   1.9950733681998669E-066
  -15.488721804511279        4.5345739742644698E-081   3.8420991634413452E-074   2.6499567742362551E-067
  -15.388471177944862        3.8339484893250426E-082   3.6876724100273519E-075   3.4359964816580565E-068
  -15.288220551378446        7.5208197130478913E-084   9.3212902616785994E-077   1.9781391724454990E-069
  -15.187969924812030        7.8328134920326636E-084   7.8193837367520762E-078   4.7742172031894038E-070
  -15.087719298245615        1.0931876770424959E-083   1.4348247093759185E-078   4.4390977714247967E-071
  -14.987468671679199        2.4107464186957614E-083   1.1344956672512076E-079   8.8187598117548079E-073
