                           x                ground state                 1st excited                 2nd excited
  -20.000000000000000        6.4399577262595970E-017   2.9101404761675770E-008   1.0691601961587911E-005
  -19.899749373433583        2.5955248480071440E-016   1.1649879417085430E-007   4.2757103822815814E-005
  -19.799498746867169        5.9138054842960805E-016   2.6247199191976578E-007   9.6168601608606334E-005
  -19.699248120300751        1.0699529391164823E-015   4.6748836618622031E-007   1.7087961567300512E-004
  -19.598997493734338        1.7097917173580885E-015   7.3220432601873221E-007   2.6682513114438322E-004
  -19.498746867167920        2.5303124984520011E-015   1.0574674229800805E-006   3.8392165449991868E-004
  -19.398496240601503        3.5564136104462198E-015   1.4443190647780224E-006   5.2206728622007626E-004
  -19.298245614035089        4.8192316224934810E-015   1.8939978495711564E-006   6.8114180945977917E-004
  -19.197994987468672        6.3570861697699508E-015   2.4079435316252398E-006   8.6100679465902510E-004
  -19.097744360902254        8.2166427452350360E-015   2.9878016310166108E-006   1.0615057200018736E-003
  -18.997493734335841        1.0454328742611097E-014   3.6354287021412157E-006   1.2824641076188052E-003
  -18.897243107769423        1.3138045719753399E-014   4.3528982778970543E-006   1.5236896754138040E-003
  -18.796992481203006        1.6349229840251225E-014   5.1425075085714677E-006   1.7849725043840468E-003
  -18.696741854636592        2.0185323016405681E-014   6.0067845166880719E-006   2.0660852212862550E-003
  -18.596491228070175        2.4762729739273501E-014   6.9484964913611051E-006   2.3667831964907472E-003
  -18.496240601503761        3.0220349319410957E-014   7.9706585480718993E-006   2.6868047568506782E-003
  -18.395989974937343        3.6723790722521691E-014   9.0765433822332613E-006   3.0258714134011547E-003
  -18.295739348370926        4.4470397897232474E-014   1.0269691747448332E-005   3.3836881036897566E-003
  -18.195488721804512        5.3695238086222415E-014   1.1553923792010953E-005   3.7599434485272739E-003
  -18.095238095238095        6.4678234833203999E-014   1.2933351289941949E-005   4.1543100229349929E-003
  -17.994987468671681        7.7752662133509064E-014   1.4412390805719964E-005   4.5664446410523659E-003
  -17.894736842105264        9.3315257479282845E-014   1.5995777834853959E-005   4.9959886547567903E-003
  -17.794486215538846        1.1183826067487298E-013   1.7688581965569028E-005   5.4425682657352837E-003
  -17.694235588972433        1.3388374373456127E-013   1.9496223110144154E-005   5.9057948507354767E-003
  -17.593984962406015        1.6012066669658283E-013   2.1424488857868232E-005   6.3852652997131313E-003
  -17.493734335839598        1.9134517690396815E-013   2.3479553005167073E-005   6.8805623665806970E-003
  -17.393483709273184        2.2850476772415676E-013   2.5667995322225304E-005   7.3912550322513077E-003
  -17.293233082706767        2.7272702979208649E-013   2.7996822619382193E-005   7.9168988796611377E-003
  -17.192982456140349        3.2535386721930867E-013   3.0473491180743571E-005   8.4570364804433251E-003
  -17.092731829573935        3.8798221704332894E-013   3.3105930636826569E-005   9.0111977929157941E-003
  -16.992481203007518        4.6251250752887287E-013   3.5902569352658955E-005   9.5789005710354563E-003
  -16.892230576441104        5.5120632576429502E-013   3.8872361412606043E-005   1.0159650783961725E-002
  -16.791979949874687        6.5675504444764070E-013   4.2024815288310214E-005   1.0752943045863350E-002
  -16.691729323308270        7.8236149030764463E-013   4.5370024281506277E-005   1.1358261055591691E-002
  -16.591478696741856        9.3183713234656639E-013   4.8918698839169830E-005   1.1975078045838217E-002
  -16.491228070175438        1.1097177390321874E-012   5.2682200844429705E-005   1.2602857241381283E-002
  -16.390977443609025        1.3214010139965276E-012   5.6672579993010652E-005   1.3241052326022622E-002
  -16.290726817042607        1.5733103867242685E-012   6.0902612371637008E-005   1.3889107917804391E-002
  -16.190476190476190        1.8730899283722025E-012   6.5385841361879606E-005   1.4546460052090931E-002
  -16.090225563909776        2.2298363073348306E-012   7.0136621000353253E-005   1.5212536672091190E-002
  -15.989974937343359        2.6543748231205157E-012   7.5170161934048649E-005   1.5886758126392706E-002
  -15.889724310776943        3.1595878946317912E-012   8.0502580117860538E-005   1.6568537673069612E-002
  -15.789473684210527        3.7608059706395813E-012   8.6150948410159659E-005   1.7257281989922390E-002
  -15.689223057644110        4.4762727244024814E-012   9.2133351231513959E-005   1.7952391690401342E-002
